,AREA_TITLE,PRIM_STATE,AREA_TYPE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,A_MEAN,A_MEDIAN
180,Vermont,VT,2,15-1243,Database Architects,50,0.15,*,*
181,Vermont,VT,2,15-2051,Data Scientists,210,0.698,119630,120670
182,Vermont,VT,2,43-9021,Data Entry Keyers,260,0.852,43580,42590
183,Virginia,VA,2,15-1242,Database Administrators,4210,1.035,113810,105000
184,Virginia,VA,2,15-1243,Database Architects,7140,1.755,*,*
185,Virginia,VA,2,15-2051,Data Scientists,6200,1.525,132230,126070
186,Virginia,VA,2,43-9021,Data Entry Keyers,3000,0.738,41430,38130
187,Washington,WA,2,15-1242,Database Administrators,2190,0.618,118000,114700
188,Washington,WA,2,15-1243,Database Architects,2490,0.702,147540,144050
189,Washington,WA,2,15-2051,Data Scientists,7930,2.24,162730,158760
190,Washington,WA,2,43-9021,Data Entry Keyers,1640,0.464,47350,44710
191,West Virginia,WV,2,15-1242,Database Administrators,230,0.328,73530,65380
192,West Virginia,WV,2,15-1243,Database Architects,270,0.388,132690,157590
193,West Virginia,WV,2,15-2051,Data Scientists,220,0.32,102770,95760
194,West Virginia,WV,2,43-9021,Data Entry Keyers,660,0.943,36830,35700
195,Wisconsin,WI,2,15-1242,Database Administrators,1380,0.473,104550,98920
196,Wisconsin,WI,2,15-1243,Database Architects,360,0.123,140770,138930
197,Wisconsin,WI,2,15-2051,Data Scientists,3640,1.243,105540,100020
198,Wisconsin,WI,2,43-9021,Data Entry Keyers,2610,0.895,41620,38740
199,Wyoming,WY,2,15-1242,Database Administrators,100,0.376,73300,69980
200,Wyoming,WY,2,15-1243,Database Architects,130,0.45,68880,62760
201,Wyoming,WY,2,15-2051,Data Scientists,**,**,85480,95840
202,Wyoming,WY,2,43-9021,Data Entry Keyers,130,0.467,45030,41020
203,Guam,GU,3,43-9021,Data Entry Keyers,110,1.748,27770,27620
204,Puerto Rico,PR,3,15-1242,Database Administrators,230,0.241,57950,49210
205,Puerto Rico,PR,3,15-1243,Database Architects,80,0.088,78160,77300
206,Puerto Rico,PR,3,15-2051,Data Scientists,120,0.122,72370,70690
207,Puerto Rico,PR,3,43-9021,Data Entry Keyers,2280,2.428,27620,23270
208,Virgin Islands,VI,3,43-9021,Data Entry Keyers,60,1.797,34750,35060
