OCC_CODE,Occupation,Location,Average_Salary,Median_Salary,Total_Jobs,A_MEAN_suppressed,A_MEDIAN_suppressed,TOT_EMP_suppressed,Location_Type,Year,Data_Source
15-1242,Database Administrators,North Dakota,85950.0,76400.0,90.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,North Dakota,112830.0,116120.0,50.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,North Dakota,94130.0,96230.0,320.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,North Dakota,94470.88669950739,97980.0,60.0,True,True,False,State,2024,BLS OEWS
15-1242,Database Administrators,Ohio,96400.0,94020.0,1770.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Ohio,133170.0,129840.0,2230.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Ohio,100260.0,98620.0,5510.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Ohio,41120.0,39810.0,5450.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Oklahoma,87430.0,76980.0,660.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Oklahoma,133880.0,132360.0,730.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Oklahoma,89940.0,80380.0,2160.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Oklahoma,36520.0,35510.0,1760.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Oregon,105050.0,102650.0,930.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Oregon,147530.0,139660.0,710.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Oregon,124060.0,106100.0,2650.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Oregon,47230.0,45650.0,1180.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Pennsylvania,105100.0,107800.0,5000.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Pennsylvania,130130.0,129040.0,2240.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Pennsylvania,107450.0,100320.0,10430.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Pennsylvania,41760.0,42400.0,7350.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Rhode Island,104100.0,103810.0,320.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Rhode Island,149350.0,136510.0,190.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Rhode Island,119400.0,114390.0,1190.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Rhode Island,46990.0,46290.0,290.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,South Carolina,99890.0,92670.0,660.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,South Carolina,128340.0,128440.0,730.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,South Carolina,96970.0,90660.0,2810.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,South Carolina,38170.0,36590.0,1520.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,South Dakota,87610.0,85890.0,150.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,South Dakota,121220.0,127460.0,60.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,South Dakota,92460.0,92000.0,270.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,South Dakota,37390.0,38140.0,2476.1650485436894,False,False,True,State,2024,BLS OEWS
15-1242,Database Administrators,Tennessee,100650.0,101640.0,1440.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Tennessee,125840.0,128440.0,680.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Tennessee,114830.0,104700.0,2550.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Tennessee,40780.0,39670.0,1860.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Texas,109330.0,109990.0,6110.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Texas,136930.0,133800.0,6330.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Texas,114800.0,106540.0,23420.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Texas,38980.0,37180.0,19950.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Utah,105050.0,97890.0,800.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Utah,134470.0,127770.0,630.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Utah,119640.0,116420.0,4830.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Utah,45060.0,41600.0,2430.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Vermont,99980.0,102170.0,120.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Vermont,94470.88669950739,97980.0,50.0,True,True,False,State,2024,BLS OEWS
15-2051,Data Scientists,Vermont,119630.0,120670.0,210.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Vermont,43580.0,42590.0,260.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Virginia,113810.0,105000.0,4210.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Virginia,94470.88669950739,97980.0,7140.0,True,True,False,State,2024,BLS OEWS
15-2051,Data Scientists,Virginia,132230.0,126070.0,6200.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Virginia,41430.0,38130.0,3000.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Washington,118000.0,114700.0,2190.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Washington,147540.0,144050.0,2490.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Washington,162730.0,158760.0,7930.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Washington,47350.0,44710.0,1640.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,West Virginia,73530.0,65380.0,230.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,West Virginia,132690.0,157590.0,270.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,West Virginia,102770.0,95760.0,220.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,West Virginia,36830.0,35700.0,660.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Wisconsin,104550.0,98920.0,1380.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Wisconsin,140770.0,138930.0,360.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Wisconsin,105540.0,100020.0,3640.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Wisconsin,41620.0,38740.0,2610.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Wyoming,73300.0,69980.0,100.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Wyoming,68880.0,62760.0,130.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Wyoming,85480.0,95840.0,2476.1650485436894,False,False,True,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Wyoming,45030.0,41020.0,130.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Guam,27770.0,27620.0,110.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Puerto Rico,57950.0,49210.0,230.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Puerto Rico,78160.0,77300.0,80.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Puerto Rico,72370.0,70690.0,120.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Puerto Rico,27620.0,23270.0,2280.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Virgin Islands,34750.0,35060.0,60.0,False,False,False,State,2024,BLS OEWS
